Date,Range,Site,Lat,Long,Sex,CrabRep,CW,CL,PL,Claw_weight,Body_weight,PercentClaw
2023-06-04,Historical,Fair,41.63002279,-70.86663056,Male,8,17.01,11.68,26.14,0.2215,0.518,30
2023-06-04,Historical,Fair,41.63002279,-70.86663056,Male,9,15.79,10.91,18.66,0.1649,0.4291,28
2023-06-04,Historical,Fair,41.63002279,-70.86663056,Male,10,16.92,11.56,29.03,0.095,0.3606,21
2023-06-05,Expanded,Dan,42.54698169,-70.93884292,Male,1,14.98,10.63,20.34,0.1562,0.4125,27
2023-06-05,Expanded,Dan,42.54698169,-70.93884292,Male,2,17.17,11.62,23.64,0.2374,0.5927,29
2023-06-05,Expanded,Dan,42.54698169,-70.93884292,Male,3,16.89,11.62,26.22,0.3007,0.6248,32
2023-06-05,Expanded,Dan,42.54698169,-70.93884292,Male,4,21.38,14.82,37.31,1.1357,0.6933,62
2023-06-05,Expanded,Dan,42.54698169,-70.93884292,Male,5,23.38,16.33,8.36,NA,1.4211,0
2023-06-05,Expanded,Dan,42.54698169,-70.93884292,Male,6,16.94,11.59,23.36,0.2218,0.5176,30
2023-06-05,Expanded,Dan,42.54698169,-70.93884292,Male,7,16.24,11.55,24,0.2223,0.5194,30
2023-06-05,Expanded,Dan,42.54698169,-70.93884292,Male,8,15.38,10.67,20.29,0.0504,0.26,16
2023-06-05,Expanded,Dan,42.54698169,-70.93884292,Male,9,14.31,10.03,19.19,0.1287,0.4012,24
2023-06-05,Expanded,Dan,42.54698169,-70.93884292,Male,10,18.22,12.4,27.45,0.3091,0.6997,31
2023-06-06,Expanded,Row,42.73774021,-70.84744931,Male,1,21.49,14.31,37.54,0.6896,1.3004,35
2023-06-06,Expanded,Row,42.73774021,-70.84744931,Male,2,22.66,15.99,40.7,0.8122,1.3963,37
2023-06-06,Expanded,Row,42.73774021,-70.84744931,Male,3,26.25,18.37,48.99,1.2476,1.9588,39
2023-06-06,Expanded,Row,42.73774021,-70.84744931,Male,4,22.9,15.56,39.73,0.9165,1.5539,37
2023-06-06,Expanded,Row,42.73774021,-70.84744931,Male,5,17.83,12.2,26.98,0.3293,0.7632,30
2023-06-06,Expanded,Row,42.73774021,-70.84744931,Male,6,19.23,12.88,32.94,0.5231,0.9985,34
2023-06-06,Expanded,Row,42.73774021,-70.84744931,Male,7,21.37,14.2,36.73,0.7187,1.3488,35
2023-06-06,Expanded,Row,42.73774021,-70.84744931,Male,8,19.5,13.76,28.58,0.3455,0.9326,27
2023-06-06,Expanded,Row,42.73774021,-70.84744931,Male,9,18.21,12.46,29.06,0.3774,0.8463,31
2023-06-06,Expanded,Row,42.73774021,-70.84744931,Male,10,18.52,12.57,28.92,0.3318,0.8092,29
2023-06-08,Expanded,Dur,43.13666306,-70.88775465,Male,1,24.9,16.76,43.18,0.9967,1.7743,36
2023-06-08,Expanded,Dur,43.13666306,-70.88775465,Male,2,19.41,13.81,35.77,0.5639,0.9097,38
2023-06-08,Expanded,Dur,43.13666306,-70.88775465,Male,3,22.4,14.74,39.44,0.8552,1.4243,38
2023-06-08,Expanded,Dur,43.13666306,-70.88775465,Male,4,22.69,15.75,39.47,0.8953,1.5968,36
2023-06-08,Expanded,Dur,43.13666306,-70.88775465,Male,5,22.76,15.69,44.37,0.9562,1.3276,42
2023-06-08,Expanded,Dur,43.13666306,-70.88775465,Male,6,21.26,13.99,36.23,0.649,1.207,35
2023-06-08,Expanded,Dur,43.13666306,-70.88775465,Male,7,25.54,16.43,50.7,1.4355,1.8589,44
2023-06-08,Expanded,Dur,43.13666306,-70.88775465,Male,8,24.29,17,45.93,1.2435,1.8913,40
2023-06-08,Expanded,Dur,43.13666306,-70.88775465,Male,9,24.71,16.89,47.6,1.3707,1.9407,41
2023-06-08,Expanded,Dur,43.13666306,-70.88775465,Male,10,26.7,16.86,50.87,1.3596,2.2799,37
